Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x2816f19fb5a3010b51a4bd8781b4a9fd10eb994813b7bc4e69444b83882f3343","Success","Borrow","24875734","2026-04-14 04:47:23","0xeb2a1125f1e14822d0708464b795baad6b9038ce","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00003778"
"0x545cd346a5f4befd451ec206fe648afbae27d5546f2f964921c1159c4fc29ee9","Success","Borrow","24875732","2026-04-14 04:46:59","0x0fe15b65136ab92a3f9ce83cceb9e0663f1efaa6","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000935"
"0xc65472c737f026274a034a8a84ab1f38b049702cd8cfee2b9e59fd3f4d844e8a","Success","Supply","24875728","2026-04-14 04:46:11","0x5e120680b997eb1cc3dfce0c3f1f405d3e6a5482","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00029628"
"0x752359543887e1d77d437c9a370d542f64b13c781d62950e3a8f5107dfbe3d1b","Success","Withdraw","24875727","2026-04-14 04:45:59","0xc4dd7d6d4f8e8aa58c4cfa339a4aa3403ddd39e0","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000622"
"0x5163e0abc0834ef2dad3ca24b8e5af2841e84ebad9a143eaab590849c24d6f07","Success","Withdraw","24875727","2026-04-14 04:45:59","0xe39e4ba4d3a2e42e41a5cecdb3554d8aab9598f6","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000626"
"0x74379e0eba1afeedf5fd4a5f57d9a12124b946d18cb4e53fbee057dc36faa3fb","Success","Supply","24875727","2026-04-14 04:45:59","0x0fe15b65136ab92a3f9ce83cceb9e0663f1efaa6","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000526"
"0xf83bd24b7c5fa4153f1bb22f775fd8abb401cf301c3f3cad31c4c981c7a87e2e","Success","Borrow","24875723","2026-04-14 04:45:11","0xa19aa7638d7906f4397dc72d60627ee187fa962d","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00004896"
"0xabb8096a7866ea28a8a845144317357a00d4770eeb8064887d3aa32455d791b8","Success","Borrow","24875723","2026-04-14 04:45:11","0x24319c914fb6dfc8a4b1d7277e38c32d05d0bb01","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00066516"
"0x4dca1af131f3176620ca4786819b4e2acb99850ca757b6ee1535846f0add9d81","Success","Supply","24875720","2026-04-14 04:44:35","0x626d1ef18983e1f229da6096b8dbd35a07ba0f15","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00030629"
"0xeb1d8eb246ae02b441e6f2aa05bb1f3a87b14cc692d4504798d176b7a5ec7e91","Success","Withdraw","24875718","2026-04-14 04:44:11","0xc1b3a919cd84eb29717a641a86926c3184b0a1af","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00035307"
"0x71714c9622d467e794b3026e17f455e97c66d93c78e932e4fd5de7fa9e00f2e7","Success","Repay","24875715","2026-04-14 04:43:35","0xfdfcf7550a7441a0554963fcc474d6920508ce6e","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001825"
"0x495661be13b923d2a408c86117e88c9cae0fd8b8d2c9d7cf52e4a52e219425c8","Success","Repay","24875715","2026-04-14 04:43:35","0xc1b3a919cd84eb29717a641a86926c3184b0a1af","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00031765"
"0x050c5b516ac24b811f74fac121493d252d2052c0414cfafdc9d44a6f1bb2367c","Success","Supply","24875714","2026-04-14 04:43:23","0x20811867707eb9f2c8a1b2bb8bae6ce3f9befbdd","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000623"
"0x1fa7faebaeb8c19588721212c93a4b7e56965f55a63ad5cd4a9f69f3d68f58d6","Success","Withdraw","24875709","2026-04-14 04:42:23","0xd6c8d12a9db036cda23553f02dd44c4eb150a0db","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00008977"
"0xe1b327ee9d90864e89e0e6a5f9b10e700c37ddd74c51f01717d2e68bccddcf6e","Success","Supply With Permit","24875708","2026-04-14 04:42:11","0x4c0c5e34847375d0e1b1bc52c56ffc5c1e540164","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00040282"
"0x24573f6f30ecbb7a61d93387c35aa6072e48d29ff6a9d3a9d1dd5e296d4e79de","Success","Withdraw","24875706","2026-04-14 04:41:47","0xc1b3a919cd84eb29717a641a86926c3184b0a1af","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00003203"
"0x7f1fe42ca1017b940b7bbc175fd8d489bf99bdbeef25e9478a755df04099ca2f","Success","Supply","24875706","2026-04-14 04:41:47","0x4b6245eb8366a48ed94a1f1567f462440cc3ae47","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.0003038"
"0x5e46378389285f12e63f2851e9afbba6e052db0ac4484b67e98c4c5a01465401","Success","Repay","24875706","2026-04-14 04:41:47","0x5e120680b997eb1cc3dfce0c3f1f405d3e6a5482","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00034704"
"0x0e909e63b846fd2fcabeba8dfcaadd31c14479730be78fbb7ad3c8724010fff8","Success","Withdraw","24875706","2026-04-14 04:41:47","0x242de21eb8de6f693f652bcba7aea74abe4d4b9c","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00004674"
"0xd7088db8903155930a93cd0dbe46718c111cce3f7bf854c1e95303065a3a5a88","Success","Supply","24875706","2026-04-14 04:41:47","0x09ff9be53e21dce43fc11b735bdad5d1e91322f7","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00036695"
"0x8241f2da6b27ee07005899379e340ca670d34dd7837fbc0544621f2bd729119f","Success","Borrow","24875705","2026-04-14 04:41:35","0x606820756723ac29c785068024c065162a873e2b","paverick.eth","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000952"
"0x1574b002fcb4c4090c2039029bbe86a95de049ab6daf0811ad17f2d605d2e6ce","Success","Borrow","24875705","2026-04-14 04:41:35","0x626d1ef18983e1f229da6096b8dbd35a07ba0f15","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00068485"
"0xa80d9bb72ac7b40fb6689ebbdd00704247c9754db93d32a4b5c6981ec6a7c314","Success","Withdraw","24875705","2026-04-14 04:41:35","0xcc50ebb617f6f5f27d62b8d6770f73fa807c3bed","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00039052"
"0x10a39dd21acd79033c0b630f68e84f9d0a462d00da8760b95daa5b86d57bb3cb","Success","Supply With Permit","24875700","2026-04-14 04:40:35","0xce344e5ad5bab578601cbf8ad103506588d38455","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00000719"
"0x429fe7f218fdce7b370e024e9f229467046c0a22c29d3482d325c267a254f5ed","Success","Supply","24875700","2026-04-14 04:40:35","0x25726277f362fdbaf11713a7fd645a3d41f2353e","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.00001003"
"0x78f3bb90a4b2816aa006a214065987d65b161b0d8f7460ab1f8aff77afd69a54","Success","Repay","24875700","2026-04-14 04:40:35","0xc1b3a919cd84eb29717a641a86926c3184b0a1af","","0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2","Aave: Pool V3","0 ETH","$0.00","0.0003005"
