"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x9045e35d5f5cae297df482c75b5e5dae28e3d989c44018da8dbe4fb25867a3a0","Success","ERC-20","Not Yoink","24904985","1 min ago","0xba12222222228d8ba445958a75a0704d566bf2c8","Balancer: Vault","0xe08d97e151473a848c3d9ca3f323cb720472d015"," MEV Bot: 0xe08d...015","0.01172","$28.27","Wrapped Ether(WETH)","0.0000628"
"0x9045e35d5f5cae297df482c75b5e5dae28e3d989c44018da8dbe4fb25867a3a0","Success","ERC-20","Not Yoink","24904985","1 min ago","0xe08d97e151473a848c3d9ca3f323cb720472d015","MEV Bot: 0xe08d...015","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","0.01172","$28.27","Wrapped Ether(WETH)","0.0000628"
"0x8b10d901fc7a91bd8621d435931cc49e0668d65cfdb35554ecd716d5b3f8b58e","Success","ERC-20","Not Yoink","24904985","1 min ago","0xe08d97e151473a848c3d9ca3f323cb720472d015","MEV Bot: 0xe08d...015","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","0.013767","$33.20","Wrapped Ether(WETH)","0.00006417"
"0x8b10d901fc7a91bd8621d435931cc49e0668d65cfdb35554ecd716d5b3f8b58e","Success","ERC-20","Not Yoink","24904985","1 min ago","0xba12222222228d8ba445958a75a0704d566bf2c8","Balancer: Vault","0xe08d97e151473a848c3d9ca3f323cb720472d015"," MEV Bot: 0xe08d...015","0.013767","$33.20","Wrapped Ether(WETH)","0.00006417"
"0xe51962d6e50466554f4b05c1a6ba780487285b75ba33163627c906c1b8baf74d","Success","ERC-20","0x2b2f5d08","24904979","2 mins ago","0xba12222222228d8ba445958a75a0704d566bf2c8","Balancer: Vault","0x1f2f10d1c40777ae1da742455c65828ff36df387"," jaredfromsubway: MEV Bot 2","0.000187","$0.45","Wrapped Ether(WETH)","0.00005239"
"0xe51962d6e50466554f4b05c1a6ba780487285b75ba33163627c906c1b8baf74d","Success","ERC-20","0x2b2f5d08","24904979","2 mins ago","0x1f2f10d1c40777ae1da742455c65828ff36df387","jaredfromsubway: MEV Bot 2","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","114.244101","$0.60","Serum(SRM)","0.00005239"
"0x2f9ef571e8a73ddacd7f0dbff08a512a0fb51b326217d6fb6110a139572daec6","Success","ERC-20","0x000010ff","24904976","2 mins ago","0x6fc3dc715f1Dc99f4F59BF5C3E53DCA31E16F29D"," ","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","1.22472","$2,953.69","Wrapped Ether(WETH)","0.00005976"
"0x2f9ef571e8a73ddacd7f0dbff08a512a0fb51b326217d6fb6110a139572daec6","Success","ERC-20","0x000010ff","24904976","2 mins ago","0xba12222222228d8ba445958a75a0704d566bf2c8","Balancer: Vault","0x6fc3dc715f1Dc99f4F59BF5C3E53DCA31E16F29D"," ","1.22472","$2,953.69","Wrapped Ether(WETH)","0.00005976"
"0x1b8a5cda08aeaf03a4d4c4493931c8e14b3d12469fc0dff1a3e74f9845e89620","Success","ERC-20","0x2b8e4b1f","24904966","4 mins ago","0xba12222222228d8ba445958a75a0704d566bf2c8","Balancer: Vault","0xa3509a16bbfc5992eb01cc861b615ccd8e937da8"," Uniswap V2: GTC","31.057069","$3.02","Gitcoin(GTC)","0.00006906"
"0x1b8a5cda08aeaf03a4d4c4493931c8e14b3d12469fc0dff1a3e74f9845e89620","Success","ERC-20","0x2b8e4b1f","24904966","4 mins ago","0x1f2f10d1c40777ae1da742455c65828ff36df387","jaredfromsubway: MEV Bot 2","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","1.531779","$3.12","Rocket Pool(RPL)","0.00006906"
"0xf7418ca1c02e8073bd70088a468312cb53eb39efb106eae4c8497e45130710f2","Success","ERC-20","0x1fe20cbd","24904963","5 mins ago","0xbdCBa839EC614A5Ed46c49947741794089668Afb"," ","0xba12222222228d8ba445958a75a0704d566bf2c8"," Balancer: Vault","0.25","$602.93","Wrapped Ether(WETH)","0.00010449"
